timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-25 11:42:00+09:00,97547.07,97624,97536.05,97590.52,36.34262,1.7325E+12,3546536.049,11521,14.51826,1416699.351,0
2024-11-25 11:45:00+09:00,97590.51,97616.74,97572.26,97616.73,35.72548,1.7325E+12,3486926.608,8825,17.30941,1689374.316,0
2024-11-25 11:48:00+09:00,97616.73,97616.74,97460,97463.32,36.04912,1.7325E+12,3516425.246,11360,12.92487,1260666.156,0
2024-11-25 11:51:00+09:00,97463.32,97544.13,97458.13,97488.68,33.66239,1.7325E+12,3282151.41,10987,11.9969,1169663.693,0
2024-11-25 11:54:00+09:00,97488.68,97488.69,97396.72,97449.53,26.29492,1.7325E+12,2562069.554,8669,13.9032,1354595.817,0
2024-11-25 11:57:00+09:00,97449.53,97449.53,97297.36,97368.63,43.97049,1.7325E+12,4281334.089,9927,13.33418,1298277.438,0
2024-11-25 12:00:00+09:00,97368.62,97482.01,97368.62,97482.01,41.34849,1.7325E+12,4028562.813,10111,26.69801,2601062.722,0
2024-11-25 12:03:00+09:00,97482,97482.01,97405.05,97405.06,18.79452,1.7325E+12,1831082.229,7330,9.58749,933994.3298,0
2024-11-25 12:06:00+09:00,97405.06,97426.09,97339.16,97383.89,34.26594,1.7325E+12,3337184.861,12111,18.24989,1777403.862,0
2024-11-25 12:09:00+09:00,97383.89,97472,97383.89,97429.38,20.7701,1.7325E+12,2023647.491,4950,14.84135,1445875.486,0
2024-11-25 12:12:00+09:00,97429.38,97506.51,97429.38,97476.32,33.18394,1.7325E+12,3234362.929,5655,23.47493,2288009.879,0
2024-11-25 12:15:00+09:00,97476.32,97673.23,97461.01,97673.23,37.91318,1.7325E+12,3699051.441,8626,32.61176,3181935.328,0
2024-11-25 12:18:00+09:00,97673.23,97748.33,97661.02,97748.33,46.61053,1.7325E+12,4553885.967,11018,23.20574,2267196.922,0
2024-11-25 12:21:00+09:00,97748.34,97785,97693.54,97775.99,44.07368,1.73251E+12,4308286.46,10014,23.38716,2286137.424,0
2024-11-25 12:24:00+09:00,97775.99,97776,97662.79,97682.47,32.90592,1.73251E+12,3215104.639,10173,8.78791,858497.1839,0
2024-11-25 12:27:00+09:00,97682.47,97696.59,97599.98,97626.17,18.64202,1.73251E+12,1820428.372,5424,7.00754,684330.1824,0
2024-11-25 12:30:00+09:00,97626.18,97626.18,97529.74,97529.74,29.81701,1.73251E+12,2908984.427,11306,9.44581,921478.4277,0
2024-11-25 12:33:00+09:00,97529.75,97715.92,97529.74,97715.91,29.06978,1.73251E+12,2837996.232,10906,20.26939,1978816.926,0
2024-11-25 12:36:00+09:00,97715.92,97784,97656,97752,32.12648,1.73251E+12,3139143.994,10653,16.27513,1590302.79,0
2024-11-25 12:39:00+09:00,97752.01,97786.99,97713.95,97713.96,27.79993,1.73251E+12,2717468.271,10195,17.60031,1720461.073,0
2024-11-25 12:42:00+09:00,97713.96,97751.37,97704,97735.59,18.63928,1.73251E+12,1821706.785,6059,8.26913,808134.1759,0
2024-11-25 12:45:00+09:00,97735.59,97839.78,97735.59,97830.04,34.01727,1.73251E+12,3326857.321,8059,20.2741,1982622.408,0
2024-11-25 12:48:00+09:00,97830.03,97880.02,97813.81,97880.02,45.24276,1.73251E+12,4426783.76,7151,32.31542,3162008.312,0
2024-11-25 12:51:00+09:00,97880.02,97880.02,97793.1,97827.95,23.41167,1.73251E+12,2290418.133,6548,12.75917,1248098.473,0
2024-11-25 12:54:00+09:00,97827.94,97840.01,97758.27,97790.58,24.83957,1.73251E+12,2429509.76,7482,10.93363,1069370.163,0
2024-11-25 12:57:00+09:00,97790.57,97898.81,97765.11,97898.8,69.97675,1.73251E+12,6847521.509,8114,58.61365,5736096.644,0
2024-11-25 13:00:00+09:00,97898.81,97992,97898.8,97985,75.18891,1.73251E+12,7364262.394,9805,60.58539,5933692.894,0
2024-11-25 13:03:00+09:00,97985,97985,97832,97882.61,95.09821,1.73251E+12,9311045.917,12112,27.82616,2724453.541,0
2024-11-25 13:06:00+09:00,97882.61,97987.04,97852.17,97928.01,143.96224,1.73251E+12,14095809.16,10927,123.60992,12102920.85,0
2024-11-25 13:09:00+09:00,97928,97999,97920,97996.13,37.59882,1.73251E+12,3683542.178,6737,23.17436,2270474.325,0
2024-11-25 13:12:00+09:00,97996.13,98050,97986.6,98009.93,95.49179,1.73251E+12,9358916.126,9848,77.25419,7571315.342,0
2024-11-25 13:15:00+09:00,98009.93,98009.93,97752,97774.09,68.33046,1.73251E+12,6687152.516,16994,24.5875,2406277.472,0
2024-11-25 13:18:00+09:00,97774.09,97811.17,97714.28,97768.01,46.44706,1.73251E+12,4540835.943,15226,21.50398,2102208.348,0
2024-11-25 13:21:00+09:00,97768.01,97819.33,97729.11,97729.45,60.9756,1.73251E+12,5961743.015,12772,12.89806,1261080.104,0
2024-11-25 13:24:00+09:00,97729.45,97768,97698.83,97745.98,46.99546,1.73251E+12,4592682.812,10039,15.91757,1555562.234,0
2024-11-25 13:27:00+09:00,97745.99,97745.99,97644,97730.44,25.77694,1.73251E+12,2518367.814,10034,11.22775,1096935.712,0
2024-11-25 13:30:00+09:00,97730.44,97806.24,97689.65,97742.33,24.16814,1.73251E+12,2362471.701,9145,12.1315,1185786.84,0
2024-11-25 13:33:00+09:00,97742.33,97800,97701.5,97768.01,52.57033,1.73251E+12,5140164.714,10174,24.70127,2414952.06,0
2024-11-25 13:36:00+09:00,97768,97791.31,97752,97765.81,20.23672,1.73251E+12,1978421.302,6200,10.33551,1010414.064,0
2024-11-25 13:39:00+09:00,97765.81,97783,97752,97768.02,50.25016,1.73251E+12,4912787.4,5277,5.99608,586187.4255,0
2024-11-25 13:42:00+09:00,97768.01,97778.41,97739.46,97776,38.25896,1.73251E+12,3740537.807,3571,11.33319,1107947.859,0
2024-11-25 13:45:00+09:00,97776,97776.01,97644,97644.44,66.26587,1.73251E+12,6474500.593,11098,12.11162,1183136.57,0
2024-11-25 13:48:00+09:00,97644.44,97668,97491.66,97667.99,98.52387,1.73251E+12,9612675.456,11174,22.40325,2186472.728,0
2024-11-25 13:51:00+09:00,97667.99,97727,97656,97719.22,15.75202,1.73251E+12,1538854.271,5670,8.11273,792521.6865,0
