timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-25 06:03:00+09:00,1.415,1.4168,1.4056,1.4086,1557110,1.73248E+12,2197696.162,5041,722835,1020374.634,0
2024-11-25 06:06:00+09:00,1.4085,1.4089,1.4008,1.4072,1547815,1.73248E+12,2174378.341,4345,586619,824332.3378,0
2024-11-25 06:09:00+09:00,1.4073,1.4073,1.404,1.4058,1524507,1.73248E+12,2142457.834,2891,666835,937183.039,0
2024-11-25 06:12:00+09:00,1.4057,1.4064,1.4013,1.404,973408,1.73248E+12,1366383.64,2281,490106,687885.4689,0
2024-11-25 06:15:00+09:00,1.4041,1.4166,1.4039,1.4131,1595561,1.73248E+12,2250500.268,3345,1048584,1478492.718,0
2024-11-25 06:18:00+09:00,1.413,1.413,1.4048,1.4048,868569,1.73248E+12,1223741.551,3011,337857,476001.4167,0
2024-11-25 06:21:00+09:00,1.4048,1.4068,1.4016,1.4056,832037,1.73248E+12,1168018.708,2188,484396,679762.9799,0
2024-11-25 06:24:00+09:00,1.4052,1.4083,1.4009,1.407,628904,1.73248E+12,883240.6104,1928,301905,424206.5671,0
2024-11-25 06:27:00+09:00,1.407,1.4106,1.4058,1.4093,771945,1.73248E+12,1086598.457,1830,404908,569985.138,0
2024-11-25 06:30:00+09:00,1.4093,1.4163,1.4073,1.4161,1330894,1.73248E+12,1877614.808,2690,491385,693465.3665,0
2024-11-25 06:33:00+09:00,1.4159,1.4204,1.4087,1.409,1403064,1.73248E+12,1984851.742,4247,693534,981507.7469,0
2024-11-25 06:36:00+09:00,1.4089,1.412,1.4031,1.4069,976133,1.73248E+12,1373859.841,3514,411029,578613.3183,0
2024-11-25 06:39:00+09:00,1.4068,1.4123,1.4047,1.4109,987274,1.73248E+12,1391651.674,2444,610631,860848.114,0
2024-11-25 06:42:00+09:00,1.4108,1.4146,1.4096,1.4128,666343,1.73248E+12,941315.477,2138,335032,473216.5379,0
2024-11-25 06:45:00+09:00,1.4129,1.4139,1.4075,1.413,886274,1.73248E+12,1250515.056,2680,462209,652221.0186,0
2024-11-25 06:48:00+09:00,1.4129,1.4181,1.4111,1.4174,884889,1.73249E+12,1252000.316,2750,362398,512686.9721,0
2024-11-25 06:51:00+09:00,1.4175,1.431,1.4162,1.4308,3818360,1.73249E+12,5442972.064,7281,2568043,3662000.408,0
2024-11-25 06:54:00+09:00,1.4308,1.4424,1.4302,1.437,3015425,1.73249E+12,4331221.888,8546,1529249,2195703.001,0
2024-11-25 06:57:00+09:00,1.437,1.4417,1.4356,1.4386,1715288,1.73249E+12,2467372.071,4889,820984,1180827.342,0
2024-11-25 07:00:00+09:00,1.4386,1.439,1.4279,1.435,2673868,1.73249E+12,3837076.555,6735,1117039,1602708.727,0
2024-11-25 07:03:00+09:00,1.4351,1.439,1.4338,1.4353,2260083,1.73249E+12,3245728.013,5071,1211168,1739689.846,0
2024-11-25 07:06:00+09:00,1.4352,1.4511,1.4351,1.4511,2967119,1.73249E+12,4289378.473,8303,1708671,2470228.295,0
2024-11-25 07:09:00+09:00,1.451,1.4606,1.451,1.4562,4002552,1.73249E+12,5831924.591,9475,1801250,2623656.884,0
2024-11-25 07:12:00+09:00,1.4561,1.4569,1.4487,1.4541,2844147,1.73249E+12,4132910.651,6517,1281771,1862697.001,0
2024-11-25 07:15:00+09:00,1.4544,1.455,1.446,1.447,1735628,1.73249E+12,2518673.336,5385,749093,1087315.683,0
2024-11-25 07:18:00+09:00,1.447,1.4559,1.4469,1.4546,1987183,1.73249E+12,2886368.643,4236,1172844,1703832.934,0
2024-11-25 07:21:00+09:00,1.4546,1.4607,1.4524,1.4573,1555473,1.73249E+12,2266944.854,3772,780200,1136971.577,0
2024-11-25 07:24:00+09:00,1.4573,1.46,1.4448,1.4454,2730490,1.73249E+12,3964801.626,5198,1204128,1748458.865,0
2024-11-25 07:27:00+09:00,1.4454,1.446,1.4384,1.4448,1281123,1.73249E+12,1848437.775,3790,576248,831713.8906,0
2024-11-25 07:30:00+09:00,1.4447,1.4447,1.4343,1.4359,2232268,1.73249E+12,3209797.224,4453,687182,988094.09,0
2024-11-25 07:33:00+09:00,1.436,1.4407,1.4284,1.4402,2337602,1.73249E+12,3353964.283,5081,1102452,1582661.452,0
2024-11-25 07:36:00+09:00,1.4402,1.4465,1.4402,1.446,864700,1.73249E+12,1248470.035,2689,529367,764457.165,0
2024-11-25 07:39:00+09:00,1.4459,1.4459,1.4415,1.4423,1261043,1.73249E+12,1821288.481,2240,692086,999778.7947,0
2024-11-25 07:42:00+09:00,1.4423,1.4452,1.4338,1.4366,1192115,1.73249E+12,1715916.708,2765,542645,781484.4848,0
2024-11-25 07:45:00+09:00,1.4366,1.4423,1.4358,1.4379,814911,1.73249E+12,1172821.517,1770,465170,669499.4535,0
2024-11-25 07:48:00+09:00,1.4379,1.438,1.4271,1.4302,1252038,1.73249E+12,1792932.626,2861,275717,394780.5549,0
2024-11-25 07:51:00+09:00,1.4302,1.44,1.4302,1.44,521153,1.73249E+12,748089.1994,1491,304272,436842.5555,0
2024-11-25 07:54:00+09:00,1.4399,1.4442,1.4399,1.4434,1163098,1.73249E+12,1677592.307,2619,778180,1122468.87,0
2024-11-25 07:57:00+09:00,1.4434,1.4439,1.4404,1.443,684224,1.73249E+12,986789.0918,1659,314318,453328.3192,0
2024-11-25 08:00:00+09:00,1.4429,1.4508,1.4398,1.4501,1148196,1.73249E+12,1656720.436,3437,607175,876534.1551,0
2024-11-25 08:03:00+09:00,1.4501,1.4564,1.4479,1.4512,1988646,1.73249E+12,2888340.592,5401,988123,1435227.132,0
2024-11-25 08:06:00+09:00,1.4511,1.4572,1.4511,1.4541,1138343,1.73249E+12,1656241.191,3542,540753,786803.5178,0
2024-11-25 08:09:00+09:00,1.4541,1.4562,1.446,1.4469,1394096,1.73249E+12,2022131.059,3642,580278,841620.8064,0
2024-11-25 08:12:00+09:00,1.4469,1.4518,1.4422,1.4451,929485,1.73249E+12,1345280.72,2967,415463,601348.4489,0
2024-11-25 08:15:00+09:00,1.4451,1.452,1.4435,1.4497,778719,1.73249E+12,1128326.541,2643,457688,663015.433,0
2024-11-25 08:18:00+09:00,1.4497,1.4497,1.4442,1.4457,882875,1.73249E+12,1277255.787,2839,389474,563330.5577,0
2024-11-25 08:21:00+09:00,1.4457,1.4518,1.4422,1.4475,996567,1.73249E+12,1442571.048,2616,343146,496777.2223,0
2024-11-25 08:24:00+09:00,1.4476,1.4479,1.4425,1.4425,1074225,1.73249E+12,1553094.931,3027,570246,824703.8313,0
2024-11-25 08:27:00+09:00,1.4426,1.4516,1.4426,1.4494,1196777,1.73249E+12,1733604.878,2561,661189,957623.7732,0
2024-11-25 08:30:00+09:00,1.4494,1.4507,1.4411,1.4412,1165924,1.73249E+12,1686315.511,3080,514557,744271.4547,0
2024-11-25 08:33:00+09:00,1.4413,1.4444,1.433,1.4359,1894755,1.73249E+12,2726534.224,4609,750699,1080619.489,0
2024-11-25 08:36:00+09:00,1.4357,1.4399,1.433,1.4341,1252934,1.73249E+12,1798809.597,3487,543292,780047.2982,0
2024-11-25 08:39:00+09:00,1.4343,1.436,1.4268,1.4306,1711328,1.73249E+12,2447125.174,4360,679464,971630.3462,0
2024-11-25 08:42:00+09:00,1.4307,1.4312,1.4248,1.4286,2557987,1.73249E+12,3652983.374,4954,850319,1214133.5,0
2024-11-25 08:45:00+09:00,1.4285,1.4286,1.419,1.4285,1751320,1.73249E+12,2491716.488,5493,779714,1109422.184,0
2024-11-25 08:48:00+09:00,1.4285,1.4337,1.4278,1.4333,1471006,1.73249E+12,2104013.392,3208,897851,1284094.857,0
2024-11-25 08:51:00+09:00,1.4333,1.4358,1.4301,1.4328,823989,1.73249E+12,1181307.998,2170,305338,437649.7823,0
2024-11-25 08:54:00+09:00,1.4326,1.4374,1.4288,1.4309,623329,1.73249E+12,892284.1501,2159,240559,344472.0314,0
2024-11-25 08:57:00+09:00,1.4309,1.4351,1.428,1.4331,1973360,1.73249E+12,2826741.412,2759,979135,1402924.808,0
2024-11-25 09:00:00+09:00,1.4334,1.4342,1.4166,1.4169,1776979,1.73249E+12,2530566.803,10820,721208,1028302.53,0
2024-11-25 09:03:00+09:00,1.4169,1.4204,1.4145,1.4181,1783525,1.73249E+12,2528388.977,5555,688262,975705.3003,0
2024-11-25 09:06:00+09:00,1.4182,1.4234,1.4123,1.416,2504136,1.73249E+12,3550876.64,9892,877365,1243891.792,0
2024-11-25 09:09:00+09:00,1.4161,1.4235,1.415,1.4173,864043,1.73249E+12,1226322.792,5214,253680,360060.8596,0
2024-11-25 09:12:00+09:00,1.4174,1.4175,1.4075,1.4132,1849436,1.73249E+12,2610606.928,7139,704649,994319.1019,0
2024-11-25 09:15:00+09:00,1.4134,1.4176,1.409,1.4135,1481586,1.73249E+12,2094179.326,6742,641412,906621.1854,0
2024-11-25 09:18:00+09:00,1.4135,1.4204,1.4118,1.4156,1349329,1.73249E+12,1911127.701,6199,780061,1104899.08,0
2024-11-25 09:21:00+09:00,1.4157,1.4177,1.4075,1.4077,760431,1.73249E+12,1073872.363,4282,276731,390785.8833,0
2024-11-25 09:24:00+09:00,1.4077,1.4116,1.4053,1.4112,1167189,1.73249E+12,1643657.367,4935,428413,603479.226,0
2024-11-25 09:27:00+09:00,1.4111,1.4149,1.4087,1.4117,1141442,1.73249E+12,1612022.546,5382,644463,910031.6919,0
2024-11-25 09:30:00+09:00,1.4118,1.4127,1.4045,1.4066,769911,1.73249E+12,1084807.461,4680,177004,249337.9137,0
2024-11-25 09:33:00+09:00,1.4066,1.4075,1.4022,1.4058,1898453,1.73249E+12,2666992.049,6445,558253,784268.3317,0
2024-11-25 09:36:00+09:00,1.4059,1.4074,1.3962,1.3962,1995957,1.7325E+12,2795508.8,7479,470238,658823.6651,0
2024-11-25 09:39:00+09:00,1.3963,1.4081,1.3963,1.4078,1833270,1.7325E+12,2569363.571,7552,947995,1328633.246,0
2024-11-25 09:42:00+09:00,1.4078,1.4086,1.402,1.404,1338088,1.7325E+12,1879278.008,5465,622629,874418.1555,0
2024-11-25 09:45:00+09:00,1.4039,1.4112,1.4022,1.4071,826034,1.7325E+12,1161734.831,4543,471204,662726.0956,0
2024-11-25 09:48:00+09:00,1.407,1.4128,1.4062,1.4096,1377263,1.7325E+12,1941433.193,4032,859278,1211678.135,0
2024-11-25 09:51:00+09:00,1.4097,1.4129,1.4062,1.4127,748557,1.7325E+12,1055119.353,3194,415633,585867.8114,0
2024-11-25 09:54:00+09:00,1.4126,1.4128,1.4046,1.4071,640457,1.7325E+12,902133.4901,2477,269538,379676.1475,0
2024-11-25 09:57:00+09:00,1.407,1.4074,1.3992,1.3996,841653,1.7325E+12,1180412.084,3834,168723,236694.8153,0
2024-11-25 10:00:00+09:00,1.3995,1.4025,1.3952,1.3977,1205726,1.7325E+12,1685514.441,6626,349888,489149.5291,0
2024-11-25 10:03:00+09:00,1.3977,1.399,1.3855,1.3856,2286069,1.7325E+12,3179328.045,10170,651773,906180.5043,0
2024-11-25 10:06:00+09:00,1.3857,1.3896,1.3817,1.3861,1491036,1.7325E+12,2066367.343,8335,673960,934070.551,0
2024-11-25 10:09:00+09:00,1.3861,1.3906,1.3841,1.3877,1282282,1.7325E+12,1779291.454,6797,588994,817309.4343,0
2024-11-25 10:12:00+09:00,1.3876,1.3898,1.3834,1.3846,1053702,1.7325E+12,1460362.288,6648,384808,533325.3057,0
2024-11-25 10:15:00+09:00,1.3848,1.3877,1.3829,1.383,851982,1.7325E+12,1180247.083,5170,369255,511518.8921,0
2024-11-25 10:18:00+09:00,1.3829,1.383,1.3729,1.3759,2320241,1.7325E+12,3195154.492,9891,626936,863160.2397,0
2024-11-25 10:21:00+09:00,1.3759,1.3773,1.3618,1.3651,3661387,1.7325E+12,5008245.401,13851,1216625,1663783.289,0
2024-11-25 10:24:00+09:00,1.3651,1.3677,1.355,1.3669,3850529,1.7325E+12,5241352.782,13783,1401743,1908754.481,0
2024-11-25 10:27:00+09:00,1.367,1.3727,1.364,1.3682,1542546,1.7325E+12,2112295.339,8703,691457,946985.1449,0
2024-11-25 10:30:00+09:00,1.3683,1.3759,1.3612,1.3676,2776437,1.7325E+12,3801419.16,10320,1704877,2335743.643,0
2024-11-25 10:33:00+09:00,1.3675,1.3731,1.3616,1.373,1845806,1.7325E+12,2523498.806,8307,807271,1104304.81,0
2024-11-25 10:36:00+09:00,1.373,1.3761,1.3692,1.3723,1749748,1.7325E+12,2402307.987,6311,800406,1099377.405,0
2024-11-25 10:39:00+09:00,1.3723,1.3776,1.3687,1.3699,918559,1.7325E+12,1260900.052,5667,473046,649309.5998,0
2024-11-25 10:42:00+09:00,1.37,1.3786,1.3677,1.3778,1211973,1.7325E+12,1665393.662,5809,798423,1097835.747,0
2024-11-25 10:45:00+09:00,1.3779,1.3788,1.3749,1.3779,1090158,1.7325E+12,1500760.32,5009,446516,614970.342,0
2024-11-25 10:48:00+09:00,1.3779,1.378,1.3657,1.3662,1278661,1.7325E+12,1753371.016,6701,510195,699547.5904,0
2024-11-25 10:51:00+09:00,1.3661,1.3726,1.3659,1.3689,615169,1.7325E+12,842107.3636,4664,354751,485594.958,0
2024-11-25 10:54:00+09:00,1.3691,1.3771,1.3684,1.3743,699915,1.7325E+12,961496.1645,3692,347250,476997.2265,0
2024-11-25 10:57:00+09:00,1.3742,1.3813,1.3742,1.3789,646532,1.7325E+12,890922.8943,3243,432453,595926.6049,0
2024-11-25 11:00:00+09:00,1.379,1.3904,1.3783,1.3889,4215956,1.7325E+12,5835322.604,8937,3256030,4506871.723,0
2024-11-25 11:03:00+09:00,1.389,1.3912,1.3838,1.3846,2367998,1.7325E+12,3289094.727,8227,1168162,1623120.183,0
2024-11-25 11:06:00+09:00,1.3846,1.3898,1.3841,1.388,797794,1.7325E+12,1106756.421,4778,492910,683665.4983,0
2024-11-25 11:09:00+09:00,1.388,1.3892,1.385,1.3857,1038087,1.7325E+12,1439812.483,4219,374775,519839.2286,0
2024-11-25 11:12:00+09:00,1.3859,1.3875,1.384,1.3853,408215,1.7325E+12,565612.6093,3002,192846,267222.9804,0
2024-11-25 11:15:00+09:00,1.3853,1.3898,1.3852,1.3887,414241,1.7325E+12,575036.8644,2430,245914,341372.129,0
2024-11-25 11:18:00+09:00,1.3887,1.3954,1.3887,1.3913,1023573,1.7325E+12,1425428.141,3311,651034,906557.2061,0
2024-11-25 11:21:00+09:00,1.3913,1.395,1.3913,1.3949,516553,1.7325E+12,719655.1504,2883,311501,434000.8493,0
2024-11-25 11:24:00+09:00,1.3949,1.398,1.3933,1.3958,1397898,1.7325E+12,1951920.995,3468,1076886,1503688.335,0
2024-11-25 11:27:00+09:00,1.3958,1.397,1.3911,1.3938,634801,1.7325E+12,884959.7695,2834,304227,424085.3897,0
2024-11-25 11:30:00+09:00,1.3939,1.3967,1.3928,1.3936,571420,1.7325E+12,797144.1734,2892,312977,436631.9914,0
2024-11-25 11:33:00+09:00,1.3937,1.3947,1.3871,1.3903,1663388,1.7325E+12,2311389.906,4415,982569,1365387.966,0
2024-11-25 11:36:00+09:00,1.3903,1.3912,1.386,1.3898,559341,1.7325E+12,776778.9156,3692,135940,188729.384,0
2024-11-25 11:39:00+09:00,1.3899,1.392,1.3882,1.3911,553889,1.7325E+12,769880.012,2667,109752,152549.9125,0
2024-11-25 11:42:00+09:00,1.391,1.3955,1.3907,1.3909,574077,1.7325E+12,799577.0219,2972,387035,539014.4138,0
2024-11-25 11:45:00+09:00,1.3909,1.3936,1.39,1.3913,879764,1.7325E+12,1224531.603,3101,606223,843651.3223,0
2024-11-25 11:48:00+09:00,1.3913,1.3944,1.3876,1.3878,611822,1.7325E+12,851304.9592,4399,305649,425216.8673,0
2024-11-25 11:51:00+09:00,1.3878,1.3915,1.3869,1.3874,729979,1.7325E+12,1013963.622,4012,336351,467244.3824,0
2024-11-25 11:54:00+09:00,1.3875,1.3877,1.3807,1.3813,1349137,1.7325E+12,1866700.148,5304,479710,663554.6799,0
2024-11-25 11:57:00+09:00,1.3814,1.3868,1.3783,1.3865,1119516,1.7325E+12,1546389.983,3938,627852,867279.4399,0
2024-11-25 12:00:00+09:00,1.3866,1.3911,1.3858,1.3902,496356,1.7325E+12,689436.1897,3825,222070,308503.4688,0
2024-11-25 12:03:00+09:00,1.3901,1.3905,1.386,1.3882,607514,1.7325E+12,843222.969,3599,233237,323708.6351,0
2024-11-25 12:06:00+09:00,1.3882,1.3889,1.3826,1.3885,848627,1.7325E+12,1176132.209,4078,229391,317973.1751,0
2024-11-25 12:09:00+09:00,1.3886,1.3905,1.3868,1.3892,774135,1.7325E+12,1075688.582,2976,304008,422391.4667,0
2024-11-25 12:12:00+09:00,1.3892,1.3931,1.3892,1.3895,623050,1.7325E+12,866717.2067,3117,255582,355399.3594,0
2024-11-25 12:15:00+09:00,1.3895,1.396,1.3893,1.3959,776041,1.7325E+12,1080947.548,3360,525683,732320.2587,0
2024-11-25 12:18:00+09:00,1.3959,1.4017,1.3959,1.4012,875917,1.7325E+12,1226025.484,4183,499290,698807.2951,0
2024-11-25 12:21:00+09:00,1.4013,1.4019,1.3994,1.4004,1438250,1.73251E+12,2014814.665,3434,812300,1137942.06,0
2024-11-25 12:24:00+09:00,1.4004,1.4004,1.3946,1.3951,1067102,1.73251E+12,1490216.958,3859,509539,711750.1085,0
2024-11-25 12:27:00+09:00,1.395,1.395,1.3916,1.3925,516664,1.73251E+12,719922.6172,3176,283927,395549.2392,0
2024-11-25 12:30:00+09:00,1.3925,1.3925,1.3847,1.3851,1650147,1.73251E+12,2290658.949,5329,489520,679726.7598,0
2024-11-25 12:33:00+09:00,1.3851,1.3907,1.3841,1.3896,936628,1.73251E+12,1299498.639,4606,468627,650132.6123,0
2024-11-25 12:36:00+09:00,1.3897,1.3933,1.3885,1.3924,815522,1.73251E+12,1133895.499,3944,423025,588128.831,0
2024-11-25 12:39:00+09:00,1.3923,1.3941,1.3889,1.3931,792225,1.73251E+12,1103023.671,2551,300323,418070.26,0
2024-11-25 12:42:00+09:00,1.3931,1.3995,1.3925,1.3992,775772,1.73251E+12,1083083.742,3355,542847,757762.761,0
2024-11-25 12:45:00+09:00,1.3993,1.4032,1.3979,1.4031,1044525,1.73251E+12,1462436.893,4466,659705,923667.7761,0
2024-11-25 12:48:00+09:00,1.4031,1.4089,1.4027,1.4088,1787290,1.73251E+12,2510916.961,5838,1104265,1551552.968,0
2024-11-25 12:51:00+09:00,1.4089,1.4121,1.4045,1.4051,883529,1.73251E+12,1244115.86,5749,575835,810781.1762,0
